title,artist,top genre,year,bpm,Energy,dnce,dB,live
Hold It Against Me,Britney Spears,dance pop,2011,133,72,65,-5,24
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,59,-4,8
Papi,Jennifer Lopez,dance pop,2011,120,81,71,-5,37
Cheers (Drink To That),Rihanna,barbadian pop,2011,80,91,58,-4,29
S&M Remix,Rihanna,barbadian pop,2011,128,81,82,-3,5
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,91,95,64,-4,18
Jar of Hearts,Christina Perri,dance pop,2011,75,35,35,-6,12
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,80,86,45,-5,26
Turning Page,Sleeping At Last,acoustic pop,2011,125,38,30,-8,11
Super Bass,Nicki Minaj,dance pop,2011,127,74,77,-7,40
Raise Your Glass,P!nk,dance pop,2011,122,64,68,-7,12
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,73,-4,32
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,130,88,50,-4,22
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,65,-4,67
Firework,Katy Perry,dance pop,2011,124,83,64,-5,11
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,98,72,80,-5,19
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31
Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8
Payphone,Maroon 5,pop,2012,110,75,74,-5,29
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7
Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,56,-4,11
Try,P!nk,dance pop,2012,104,63,67,-7,9
Starships,Nicki Minaj,dance pop,2012,125,72,75,-2,25
One More Night,Maroon 5,pop,2012,93,82,72,-3,8
Good Time,Owl City,pop,2012,126,87,56,-4,37
Glad You Came,The Wanted,boy band,2012,127,85,72,-4,11
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,60,-5,7
International Love,Pitbull,dance pop,2012,120,86,67,-3,34
Some Nights,fun.,baroque pop,2012,108,74,67,-7,9
Boyfriend,Justin Bieber,canadian pop,2012,97,55,72,-6,13
Part Of Me,Katy Perry,dance pop,2012,130,92,68,-5,7
Domino,Jessie J,australian pop,2012,127,55,76,-5,4
Where Have You Been,Rihanna,barbadian pop,2012,128,85,72,-6,22
Wide Awake,Katy Perry,dance pop,2012,160,68,51,-5,39
The One That Got Away,Katy Perry,dance pop,2012,134,80,69,-4,16
Dance Again,Jennifer Lopez,dance pop,2012,128,86,79,-5,10
Turn Up the Music,Chris Brown,dance pop,2012,130,84,59,-6,16
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,68,-6,13
We Are Young (feat. Janelle Mon�e),fun.,baroque pop,2012,184,64,38,-6,8
Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,127,96,72,-4,38
You Da One,Rihanna,barbadian pop,2012,127,72,70,-5,13
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,65,-3,27
It Will Rain,Bruno Mars,pop,2012,150,84,58,-7,8
Blow Me (One Last Kiss),P!nk,dance pop,2012,114,92,60,-3,25
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21
Wake Me Up,Avicii,big room,2013,124,78,53,-6,16
Story of My Life,One Direction,boy band,2013,121,66,60,-6,12
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13
Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12
Roar,Katy Perry,dance pop,2013,180,77,55,-5,35
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11
Impossible,James Arthur,pop,2013,170,70,38,-5,11
Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8
Heart Attack,Demi Lovato,dance pop,2013,174,79,50,-5,24
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,-6,12
Die Young,Kesha,dance pop,2013,128,70,71,-5,22
Clarity,Zedd,complextro,2013,128,78,51,-3,7
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,13
Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,12
Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,31
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,7
Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8
Kiss You,One Direction,boy band,2013,90,93,63,-3,32
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,6
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,8
Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,7
Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,10
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,34
Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,10
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,37
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,-7,5
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,14
